Fao_id,Taxon_name,Year,b_bmsy
87,Berrugate (Lobotes pacificus),2.008,1.44242496
87,Jurel (Caranx caninus),2.008,5.10173361
87,Merluza (Brotula clarkae),2.008,1.44242496
87,Pargo lunajero (Lutjanus guttatus),2.008,5.14645629
87,Pargo rojo (Lutjanus peru),2.008,0.03295522
87,Pelada (Cynoscion phoxocephalus),2.008,5.14061608
87,Picuda (Sphyraena ensis),2.008,9.51672569
87,Sierra (Scomberomorus sierra),2.008,1.10146039
87,Sierra (Scomberomorus sierra),2.009,1.29304131
87,Picuda (Sphyraena ensis),2.009,9.25362366
87,Pelada (Cynoscion phoxocephalus),2.009,9.15387962
87,Pargo rojo (Lutjanus peru),2.009,1.85326592
87,Pargo lunajero (Lutjanus guttatus),2.009,0.61488063
87,Merluza (Brotula clarkae),2.009,4.78405161
87,Jurel (Caranx caninus),2.009,4.80595302
87,Gualajo/Robalo (Centropomus armatus),2.009,2.72871399
87,Cherna rosada (Hyporthodus acanthistius),2.009,6.23110505
87,Bravo (Seriola lalandi),2.009,7.29644751
87,Berrugate (Lobotes pacificus),2.009,7.05444408
87,Pargo rojo (Lutjanus peru),2.01,4.70059136
87,Bravo (Seriola lalandi),2.01,8.45172071
87,Merluza (Brotula clarkae),2.01,8.58111916
87,Cherna rosada (Hyporthodus acanthistius),2.01,9.48187655
87,Berrugate (Lobotes pacificus),2.01,9.14991029
87,Gualajo/Robalo (Centropomus armatus),2.01,9.04478899
87,Jurel (Caranx caninus),2.01,8.05169832
87,Pargo lunajero (Lutjanus guttatus),2.01,9.34751697
87,Picuda (Sphyraena ensis),2.01,9.45473488
87,Sierra (Scomberomorus sierra),2.01,8.18288093
87,Merluza (Brotula clarkae),2.014,7.08034469
87,Sierra (Scomberomorus sierra),2.014,3.71756602
87,Cherna café (Epinephelus cifuentesi),2.014,0.35143554
87,Gualajo/Robalo (Centropomus armatus),2.014,0.89090288
87,Pelada (Cynoscion phoxocephalus),2.014,0.57380835
87,Pargo lunajero (Lutjanus guttatus),2.014,0.35143554
